1-00-11-10-00-10,1-00-11-10-00-11,1-00-11-10-10,1-00-11-10-11	2
1-10-00-01-01,1-10-01-00-00,1-10-01-00-10,1-10-01-00-11,1-10-01-01,1-10-01-11,1-11-00-10,1-11-00-00,1-11-00-01-10,1-11-00-01-11,1-11-01-00-10,1-11-01-00-00,1-11-01-00-01,1-01-11-10-11-10	3
1-10-01-00-11,1-10-01-01,1-10-01-11,1-11-00-10	4
1-11-01-00-01	5
1-10-00-10-11	6
1-01-11-11-00-10,1-01-11-11-00-11-00,1-01-11-11-00-00,1-01-11-11-00-01-10,1-01-11-11-00-01-00	7
1-00-11-10-11	8
1-01-11-10-11-01,1-01-11-11-10-00,1-01-11-11-00-10	10
1-10-00-11,1-10-01-10,1-10-01-11,1-11-00-10,1-11-00-01-10,1-11-00-01-11,1-11-01-00-10,1-11-00-01-01,1-11-00-01-00,1-01-10-11-10,1-01-10-10-11,1-01-10-10-10,1-00-11-11-11,1-00-11-11-10,1-00-11-11-00,1-00-11-10-01-11,1-00-11-10-01-10,1-00-11-10-11	11
1-00-10-10-10,1-00-10-10-11,1-00-10-11-10,1-10-00-01-00-01,1-10-00-01-01,1-10-01-00-00,1-10-01-00-11,1-10-01-01,1-10-01-11,1-11-00-10	12
1-11-01-10,1-11-01-11,1-11-01-00-11,1-11-01-00-10,1-11-01-00-00,1-11-00-01-01,1-11-00-01-00,1-01-10-11-10,1-01-10-10-11,1-01-10-10-10,1-00-11-11-11,1-00-11-11-10,1-00-11-10-11,1-00-11-10-10,1-00-10-11-11,1-00-10-11-10,1-00-10-10-11,1-00-10-10-10	13
1-00-10-11-01-01,1-00-10-11-01-11,1-00-11-10-00-10	14
1-10-01-10,1-10-01-11,1-11-00-10,1-11-00-11	15
1-10-01-01,1-11-00-00,1-11-00-01-10,1-11-00-01-11,1-11-01-00-10,1-11-01-00-00,1-11-01-00-01,1-01-11-10-11-10,1-01-11-10-11-11,1-01-11-10-11-01,1-01-11-11-10-00,1-01-11-11-00-10,1-01-11-11-00-00,1-01-11-10-01-11,1-01-11-10-11-00	18
1-10-01-01,1-10-01-11,1-11-00-10	19
1-00-10-10-10,1-00-10-10-11,1-10-00-00-01-00,1-10-00-00-01-01,1-10-00-01-00-00,1-10-00-01-00-01,1-10-00-01-01,1-10-01-00-00,1-10-01-00-11,1-10-01-01,1-10-01-11,1-11-00-10	20
1-10-00-10-10-01-00,1-10-00-10-10-01-01,1-10-00-10-01,1-10-00-11,1-10-01-10	21
1-10-10-01,1-10-00-11	23
1-10-10-00-00-01,1-10-00-10-10-11,1-10-00-10-11,1-10-00-11,1-10-01-10,1-10-01-11,1-11-00-10,1-11-00-11,1-11-00-01-10,1-11-00-01-11,1-11-01-00-10,1-11-01-00-00,1-11-00-01-01,1-11-00-01-00,1-01-10-11-10,1-01-10-10-11,1-01-10-10-10,1-00-11-11-11,1-00-11-11-10,1-00-11-10-01-11,1-00-11-10-01-10	25
