1-11-01-10-01,1-11-01-11-10,1-11-11-01-01	1
1-11-11-00-10,1-11-10-01-11,1-11-10-01-00,1-11-10-00-01,1-11-00-10	2
1-01-10-00-00-11,1-01-10-00-01-10,1-01-10-00-11,1-01-10-10-01,1-01-10-11-00	4
1-00-11-11-01,1-01-10-10-00	8
1-00-00-11-01-11-11,1-00-00-11-01-11-10,1-00-00-11-01-11-01,1-00-00-11-01-11-00	9
1-00-00-11-00,1-00-00-11-10-01-00	10
1-10-00-11-11,1-10-00-11-10,1-10-00-10-11-11,1-10-00-10-11-10,1-10-00-10-10	11
1-11-00-01-01,1-11-01-00-00,1-11-01-00-10,1-11-01-00-11,1-11-01-11-00,1-11-01-11-10,1-11-01-11-11	15
1-10-01-01-10,1-10-01-00-11,1-10-01-10-01,1-10-01-10-00,1-10-00-11-01	16
1-01-10-01-00,1-01-10-01-01-00,1-01-00-11-11-10	21
1-00-11-01-00,1-00-11-00-01-01,1-00-01-10-11-11,1-00-01-10-11-10,1-00-11-00-01-00	23
1-01-11-00-00-00,1-01-11-00-00-01,1-01-01-10-11-10,1-01-01-10-11-01,1-01-01-10-11-11	26
1-01-10-11-10,1-01-10-11-11,1-11-01-00-00,1-11-01-00-11,1-11-01-11-00,1-11-01-11-01	28
1-11-01-10-10,1-11-01-10-00,1-11-00-11-01,1-11-00-01-10,1-11-00-01-00,1-11-00-00-01,1-01-10-10-11,1-01-10-10-10,1-01-10-10-00,1-00-11-11-01,1-00-11-01-11,1-00-11-01-10-01,1-00-11-01-00,1-00-11-00-01-01,1-00-01-10-11-11,1-00-01-10-11-10	34
1-00-11-01-10-01,1-00-11-01-00,1-00-11-00-01-01	35
1-10-00-10-10	37
1-00-01-11-10-01,1-00-01-11-11-10,1-00-01-11-11-11,1-00-11-01-01-01,1-01-10-00-00-00,1-01-10-00-00-11,1-01-10-00-10,1-01-10-00-11,1-01-10-10-01,1-01-10-11-00,1-01-10-11-10,1-01-10-11-11,1-11-00-01-01,1-11-01-00-00,1-11-01-00-10,1-11-01-00-11,1-11-01-10-01	44
1-01-10-10-01	46
1-10-00-00-01-10	47
1-00-10-11-11-10,1-00-10-11-11-00,1-00-10-11-01-10,1-00-10-11-01-00	48
1-10-01-10-11,1-10-01-10-10,1-10-00-11-11,1-10-10-01-01-00,1-10-10-01-00,1-10-10-00-01-01,1-10-10-00-01-00,1-10-10-00-01-10,1-10-10-00-00-11	50
1-00-10-11-10-10-11,1-00-10-11-10-11,1-00-10-11-11-10,1-00-10-11-11-00,1-00-10-11-11-01,1-00-10-11-01-11,1-00-11-10-00-10	54
1-11-01-11-00,1-11-01-11-10,1-11-01-11-11,1-11-11-01-00,1-11-11-00-01,1-11-01-10-10,1-11-00-11-01,1-11-00-01-11,1-11-00-01-10,1-11-00-01-00,1-11-00-00-01,1-01-10-10-11,1-01-10-10-00,1-00-11-11-01,1-00-11-01-11,1-00-11-01-10-01,1-00-11-01-00,1-00-11-00-01-01,1-00-01-10-11-11,1-00-01-10-11-10,1-00-01-10-11-00,1-00-01-10-10-01-01,1-00-01-10-10-01-00,1-00-01-10-00-11-10,1-00-01-10-10-00,1-00-01-10-10-01-10	56
1-00-11-01-01-00,1-00-11-01-01-01,1-01-10-00-00-10,1-01-10-00-10,1-01-10-00-11,1-01-10-10-01,1-01-10-11-00,1-01-10-11-10,1-01-10-11-11,1-11-00-01-01,1-11-01-00-00,1-11-01-00-10,1-11-01-00-11,1-11-01-10-01,1-11-01-11-00	58
1-10-01-11-11-00,1-10-01-11-10-01,1-10-01-11-00	60
1-10-01-11-10-10,1-10-01-10-11,1-10-01-10-10,1-10-00-11-11	61
1-00-01-11-10-01,1-00-01-11-11-00,1-00-01-11-11-10,1-00-01-11-11-11,1-01-00-10-10-10,1-01-00-10-10-11,1-01-10-00-00-01,1-01-10-00-01-00,1-01-10-00-01-01,1-01-10-01-00,1-01-10-01-01-00,1-01-10-01-01-01,1-01-11-00-00-00,1-01-11-00-00-01,1-01-11-00-01-00,1-01-01-10-11-10	68
1-00-11-01-01-01,1-01-10-00-00-10,1-01-10-00-10,1-01-10-00-11,1-01-10-10-01,1-01-10-11-00,1-01-10-11-10,1-11-00-01-00	70
1-01-10-11-00,1-01-10-11-11,1-11-01-00-00,1-11-01-00-01,1-11-01-00-11,1-11-01-01-10,1-11-01-11-00,1-11-01-11-01,1-11-01-11-11	71
1-01-11-00-01-00,1-01-01-10-11-10,1-01-01-10-11-11	72
1-00-10-11-11-01	77
1-11-11-00-10,1-11-10-01-11,1-11-10-01-01,1-11-10-01-00,1-11-10-00-01,1-11-00-10	78
1-01-01-10-11-10	83
1-10-01-11-00,1-10-01-10-01,1-10-01-10-00,1-10-00-11-01,1-10-00-11-10	89
1-00-11-01-01-01,1-01-10-00-00-00,1-01-10-00-00-10,1-01-10-00-00-11,1-01-10-00-11,1-01-10-01-10,1-01-10-11-00,1-01-10-11-01,1-01-10-11-11,1-01-11-10-10,1-11-01-00-00,1-11-01-00-01,1-11-01-00-11,1-11-01-01-10,1-11-01-11-01,1-11-01-11-11	92
1-00-10-10-00-11-11	93
1-00-00-11-01-11-10,1-00-00-11-01-10-11	94
1-00-11-01-11,1-00-11-01-10-11,1-00-11-01-10-01,1-00-11-01-00,1-00-11-00-01-01,1-00-01-10-11-11,1-00-01-10-11-10,1-00-01-10-11-00,1-00-01-10-10-01-11,1-00-01-10-10-01-01	95
1-00-11-01-01-01,1-01-10-00-00-00,1-01-10-00-00-10,1-01-10-00-00-11,1-01-10-00-10,1-01-10-00-11,1-01-10-10-01,1-01-10-11-00,1-01-10-11-10,1-01-10-11-11,1-11-00-01-01	97
1-01-10-01-00,1-01-10-01-01-10,1-01-10-01-01-11,1-01-11-00-00-10,1-01-11-00-00-11,1-01-11-00-00-01,1-01-11-00-01-00,1-01-01-10-11-10,1-01-01-10-11-11,1-01-01-10-11-01,1-01-01-10-11-00	98
1-00-01-11-11-10,1-00-01-11-11-11,1-00-11-01-01-01,1-01-10-00-00-00,1-01-10-00-00-10,1-01-10-00-00-11,1-01-10-00-10,1-01-10-00-11,1-01-10-10-01,1-01-10-11-00,1-01-10-11-10,1-01-10-11-11,1-11-00-01-01	99
1-10-00-10-11-01,1-10-00-10-11-00	102
1-00-00-11-01-11-00,1-00-00-11-01-10-01,1-00-00-11-01-10-11	104
1-01-10-11-11	105
1-10-10-01-01-10-01,1-10-10-01-01-10-00,1-10-10-01-01-10-10,1-10-10-01-01-00	107
1-01-00-10-11-01-10,1-01-00-10-11-00	108
1-00-01-11-00-10-11,1-00-01-11-00-11-10,1-00-01-11-00-11-11,1-00-01-11-00-11-01	110
1-10-11-00-10-00,1-10-11-00-10-01	112
1-11-10-10-00-10-01	113
1-00-00-11-01-11-00,1-00-00-11-01-10-01,1-00-00-11-01-11-10,1-00-00-11-01-10-11	117
1-00-11-01-01-01,1-01-10-00-00-00,1-01-10-00-00-10,1-01-10-00-00-11,1-01-10-00-10,1-01-10-00-11,1-01-10-10-01,1-01-10-11-00,1-01-10-11-10,1-01-10-11-11,1-11-00-01-01,1-11-01-00-00	120
1-00-01-11-11-00,1-00-01-11-11-10,1-00-01-11-11-11,1-01-00-10-10-10,1-01-10-00-00-00,1-01-10-00-00-01,1-01-10-00-01-00	123
1-01-10-01-00,1-01-10-01-01-10,1-01-10-01-01-00,1-01-10-01-01-11,1-01-11-00-00-00,1-01-11-00-00-01,1-01-11-00-01-00	125
1-00-01-11-00-10-01,1-00-01-10-01-11,1-00-01-11-00-10-11,1-00-01-11-00-11-10	128
1-01-10-10-10,1-00-11-01-11,1-00-01-11-10-01	130
1-00-11-01-10-11,1-00-11-01-10-01,1-00-11-01-10-00,1-00-11-01-00,1-00-11-00-01-01,1-00-01-10-11-11	132
1-01-10-01-00,1-01-10-01-01-10,1-01-10-01-01-11,1-01-11-00-00-10,1-01-11-00-00-00,1-01-11-00-00-01,1-01-11-00-00-11,1-01-11-00-01-00	136
1-10-11-01-01-11-00	137
1-00-01-10-11-10	141
1-01-10-00-10,1-01-10-00-11,1-01-10-00-01-10,1-01-10-00-01-11,1-01-10-01-00,1-01-00-11-11-10,1-01-10-01-01-00,1-01-10-01-01-10,1-01-10-01-11	146
1-10-11-00-01-10,1-10-01-10-11,1-10-01-10-10	149
1-01-11-10-10,1-01-11-10-01-00-10,1-01-11-00-11-10-01,1-01-11-00-11-00-11,1-01-11-00-11-00-10,1-01-11-00-11-10-00,1-01-11-00-10,1-01-11-10-00-01,1-01-11-10-00-00,1-01-10-01-11,1-01-10-11-01,1-01-10-11-00	150
1-10-00-01-01-00,1-10-00-01-01-01,1-10-01-00-00,1-10-01-00-10	156
1-11-01-00-00,1-01-11-10-10,1-01-10-11-11,1-01-10-11-01,1-01-10-11-00	161
1-11-00-01-00,1-01-10-11-10	163
1-11-01-00-10	164
1-11-00-00-11,1-11-00-00-10,1-10-01-11-01,1-10-01-11-00,1-10-01-10-01	169
1-10-11-01-10-00,1-10-11-00-11-01-01	170
1-00-11-00-11-01,1-00-11-01-10-00,1-00-11-01-00,1-00-11-01-01-10,1-00-11-01-01-11,1-00-11-01-01-01	173
1-10-11-00-01-11,1-10-11-00-01-00,1-10-01-10-11,1-10-01-10-10,1-10-11-00-00-01,1-10-01-10-01,1-10-01-11-00,1-10-01-01-11-01,1-10-01-01-01	174
1-11-10-00-11	175
1-11-11-10-01,1-11-11-01-10	177
1-00-10-01-11-00-10,1-00-10-01-10-11-10,1-00-10-11-00-00-11	179
1-11-00-01-11,1-11-00-01-10	186
1-01-11-10-11-01-01-01,1-01-11-10-01-11,1-01-11-10-01-10-01-10	192
1-00-01-10-00-01-11,1-00-01-10-01-00-10,1-00-01-10-01-00-11,1-00-01-10-01-01-10,1-00-01-10-01-11	194
1-00-11-01-11,1-01-10-00-10,1-01-10-10-00,1-01-10-00-00-10,1-01-10-00-00-00,1-01-10-00-00-01,1-01-10-00-00-11	195
1-10-01-11-00,1-10-01-10-01	198
1-00-10-11-01-01,1-00-11-10-00-00,1-00-11-10-00-10,1-00-11-10-00-11,1-00-11-10-01-10	201
1-01-10-01-01-00	204
1-11-10-10-01-01,1-11-10-01-10,1-11-10-01-00,1-11-10-01-01,1-11-00-11-11,1-11-01-10-10,1-11-01-10-00,1-11-01-10-01	207
1-11-11-10-01,1-11-11-00-11,1-11-11-01-10,1-11-11-01-00	209
1-11-00-01-10,1-11-00-00-11,1-11-00-00-01,1-01-10-10-10	211
1-00-10-11-01-01,1-00-11-10-00-00,1-00-11-10-00-10,1-00-11-10-10	216
1-11-01-00-10,1-11-00-01-11,1-11-00-01-01,1-11-00-01-00	218
1-11-10-01-10	219
1-10-00-11-00	222
1-10-01-01-11-01	223
1-00-11-11-10	226
1-00-10-11-10-00-10	227
1-01-11-10-01-10-00,1-01-11-10-00-11,1-01-11-10-10	230
1-10-01-11-00,1-10-01-01-10,1-10-01-01-11-00	231
1-10-01-00-10	236
1-11-01-00-10	238
1-10-01-01-10,1-10-01-00-11	240
1-10-00-00-00-11,1-10-00-00-00-01-10	241
1-10-10-01-11-00	253
1-01-11-10-00-01,1-01-11-10-00-00,1-01-10-11-01,1-01-10-01-11	254
1-00-10-11-01-00,1-00-10-11-01-01,1-00-10-01-11-11-11	257
1-01-11-00-10	260
1-11-00-01-11,1-11-00-01-10,1-11-00-01-00,1-11-00-00-11,1-11-00-00-01,1-11-00-00-00,1-10-01-01-01,1-10-01-01-00,1-10-01-00-01,1-10-01-00-00,1-10-00-01-01-01,1-10-00-01-01-00,1-10-00-01-01-10,1-10-00-01-11,1-10-00-01-00-11	261
1-00-10-11-00-01-00,1-00-10-11-00-01-01	262
1-10-11-00-10-11,1-10-11-00-11-10-00,1-10-11-00-11-01-10,1-10-11-01-10-00,1-10-11-01-10-10-01	264
1-11-01-00-11	265
1-11-00-01-11,1-11-01-00-10,1-11-01-00-11,1-11-01-10-01,1-11-01-11-00	266
1-00-11-00-10-10,1-00-11-00-10-00-11,1-00-11-00-10-01,1-00-11-00-10-00-01	269
1-10-01-10-01,1-10-01-00-11,1-10-01-01-10,1-10-01-01-11-00	271
1-10-00-01-01-01,1-00-10-11-11-11,1-00-10-11-10-11	273
1-00-10-10-11-01-00,1-00-10-11-10-00-10,1-00-10-11-00-10	275
1-11-00-11-10,1-11-00-10	276
1-11-01-01-10,1-11-01-01-00-10-11,1-11-01-01-00-10-01	277
1-00-10-01-11-11-00,1-00-10-01-11-11-10,1-00-10-01-11-11-11,1-00-11-00-10-10,1-00-11-10-00-00,1-00-11-10-00-01	278
1-01-11-00-00-10	279
1-00-10-11-10-00-11	281
1-11-00-01-11,1-11-01-00-10,1-11-10-01-01,1-11-10-11-10-00,1-11-10-10-11-01,1-11-10-10-11-11,1-11-10-10-11-10	288
1-00-11-00-10-01,1-00-11-00-11-00,1-00-11-10-00-00,1-00-10-11-01-11,1-00-10-11-01-10	290
1-11-00-11-11	291
1-10-11-00-01-00,1-10-11-00-01-01,1-10-11-00-01-11,1-10-11-00-11-01-01,1-10-11-01-10-00	292
1-10-11-00-10-00,1-10-11-00-10-01	293
1-11-10-00-00-00,1-11-00-10	297
1-01-00-11-10-01-11	298
1-11-00-11-00,1-11-00-10,1-10-01-01-11-10,1-10-01-01-11-00,1-10-01-01-10,1-10-01-00-01,1-10-01-00-00,1-00-11-10-10,1-00-10-11-11-11	304
1-10-11-00-01-00,1-10-11-00-01-01,1-10-11-00-01-11,1-10-11-00-11-01-01,1-10-11-00-11-01-11,1-10-11-01-10-00,1-10-11-01-10-10-00,1-10-11-01-10-10-01	305
1-10-00-10-11-11,1-10-10-00-01-01	310
1-00-11-11-11,1-10-01-01-00,1-10-01-01-10,1-10-01-00-11,1-10-01-10-01,1-10-01-10-00,1-10-01-10-10,1-10-00-11-11	311
1-11-01-11-00,1-11-01-01-10,1-11-01-01-00-10-11	314
1-11-01-01-00-00-11-01,1-11-01-01-00-00-01,1-01-11-11-10-10-11,1-01-11-11-10-10-01	316
1-11-00-01-00,1-11-00-00-01,1-01-10-10-10,1-01-10-10-00,1-01-10-00-10	319
1-10-01-11-10-01,1-10-01-11-11-00,1-10-01-11-11-10,1-10-11-01-01-00	320
1-11-00-11-00,1-11-00-10,1-11-00-00-11,1-11-00-00-10,1-10-01-01-11-01,1-10-01-01-11-00,1-10-01-01-00,1-10-01-00-01,1-00-11-10-11,1-00-11-10-10,1-00-10-11-11-01,1-00-10-11-11-00,1-00-10-11-10-01,1-00-10-11-00-11,1-00-10-11-10-00-01,1-00-10-11-10-00-00,1-00-10-10-11-01-01,1-00-10-10-01-11-11	323
1-11-11-01-10,1-11-11-01-00	326
1-01-11-10-00-01	328
1-10-01-11-10-00,1-10-01-11-10-10,1-10-11-01-00-00,1-10-11-01-00-01-10,1-10-11-01-00-11,1-10-11-01-10-01-00,1-10-11-01-10-01-10,1-10-11-01-10-11-01	329
1-11-00-10,1-10-01-11-01,1-10-01-01-11-10,1-10-01-01-10,1-10-01-11-00,1-10-01-00-11	331
1-10-01-00-11,1-10-01-01-10,1-10-01-11-00	336
1-00-00-11-01-11-01,1-00-01-10-00-10-00	337
1-00-10-11-00-11,1-00-10-11-00-10	339
1-01-10-10-00,1-01-10-10-10	340
1-00-11-10-00-00	343
1-11-00-11-01,1-11-00-11-00,1-11-00-10,1-11-00-00-11,1-11-00-00-10,1-11-00-00-00,1-01-10-00-10,1-01-10-00-01-10,1-01-10-00-11	346
1-11-10-01-00,1-11-00-11-11,1-11-10-01-01,1-11-11-00-00	347
1-00-10-11-01-10,1-00-10-11-00-11,1-00-10-11-10-01	348
1-11-00-01-01,1-11-01-00-00,1-11-01-00-10	349
1-11-10-00-10-01-11,1-11-10-00-10-01-00,1-11-10-00-00-10,1-11-10-00-00-00,1-10-11-01-01-01,1-10-01-11-11-10	350
1-10-11-01-01-11-00	351
1-01-10-00-00-11,1-01-10-00-11,1-01-10-00-01-10	352
